"YEAR","SABLEFISH_SURVEY_IND","AvL","Std","sex","SABLE_SET_TYPE","count"
2003,1,58.2780115102204,5.37317975447839,1,"StRS",5039
2004,1,59.7396262886598,5.76350000355164,1,"StRS",1552
2005,1,58.9754109138724,5.44303758364407,1,"StRS",1521
2006,1,59.3292486583184,5.14092528766045,1,"StRS",2236
2007,1,60.0816070599164,5.57823337310845,1,"StRS",2153
2008,1,60.8756495160469,5.57799740675426,1,"StRS",1963
2009,1,60.5920126116658,5.37596877493095,1,"StRS",1903
2010,1,59.4499759961594,6.37306590422508,1,"StRS",2083
2011,1,57.864734950584,6.1388642837063,1,"StRS",2226
2012,1,58.3634969325153,6.02833762980358,1,"StRS",2282
2013,1,58.803743315508,5.53963170440365,1,"StRS",1870
2014,1,57.4514443761524,5.50626748486046,1,"StRS",1627
2015,1,58.3199052132701,6.05231839087023,1,"StRS",1688
2016,1,58.0988436123348,5.74324408818926,1,"StRS",1816
2017,1,56.2792127921279,6.32673143913977,1,"StRS",1626
2018,1,56.9560276679842,5.92318126965263,1,"StRS",2024
2019,1,55.2332751599767,6.15898014878574,1,"StRS",1719
2020,1,54.8100238663484,5.68035901740337,1,"StRS",1676
2021,1,54.7899807321773,5.79539883198185,1,"StRS",1557
2022,1,56.3107302533532,5.39668406706798,1,"StRS",2013
2003,1,63.1250276365245,7.54516354329536,2,"StRS",4523
2004,1,66.5859465737515,6.87513688658107,2,"StRS",1722
2005,1,66.6128637951106,7.26537274101504,2,"StRS",1718
2006,1,67.4206533192834,6.59316151806652,2,"StRS",1898
2007,1,67.7985066371682,7.59087231739339,2,"StRS",1808
2008,1,70.2635431235431,7.67806131130259,2,"StRS",2145
2009,1,68.7498613678373,7.79081129400364,2,"StRS",2164
2010,1,67.2959490213928,9.31303300564582,2,"StRS",2197
2011,1,64.5078342749529,9.75058008529026,2,"StRS",2655
2012,1,65.3147254575707,8.52795307522685,2,"StRS",2404
2013,1,65.6761308950914,8.0910959367729,2,"StRS",2078
2014,1,66.1096153846154,7.93605497184153,2,"StRS",1820
2015,1,65.6640143737166,9.1692790993987,2,"StRS",1948
2016,1,63.8773768893223,8.52179158672876,2,"StRS",2051
2017,1,62.1045101842871,8.87895658244035,2,"StRS",2062
2018,1,62.5461278036394,9.28510392956441,2,"StRS",2363
2019,1,60.9687619777693,9.2368129367755,2,"StRS",2609
2020,1,60.4126233766234,7.84103442263955,2,"StRS",1925
2021,1,61.5948448448448,8.07404320718673,2,"StRS",1998
2022,1,62.3272607550483,7.26443188572646,2,"StRS",2278
